Hotel_Name,Reviewer_Score,Total_Number_of_Reviews,lat,lng,Hotel_ID,Total_Reviews_Found
Molitor Paris MGallery by Sofitel,7.9,659,48.8448902,2.252833,Molitor Paris MGallery by Sofitel_48.845_2.253,73.0
First Hotel Paris Tour Eiffel,9.2,275,48.8475112,2.3022198,First Hotel Paris Tour Eiffel_48.848_2.302,72.0
DoubleTree by Hilton London Victoria,9.2,2902,51.49398,-0.143372,DoubleTree by Hilton London Victoria_51.494_-0.143,1063.0
St Ermin s Hotel Autograph Collection,10.0,857,51.498905,-0.1339093,St Ermin s Hotel Autograph Collection_51.499_-0.134,384.0
Montagu Place Hotel,10.0,287,51.5191009,-0.1592,Montagu Place Hotel_51.519_-0.159,111.0
H tel Regina,9.2,1329,48.8637503,2.3320406,H tel Regina_48.864_2.332,372.0
Mercure Paris Gare De Lyon TGV,7.5,2903,48.8442949,2.3730938,Mercure Paris Gare De Lyon TGV_48.844_2.373,411.0
Villa Montparnasse,8.3,300,48.8349272,2.3295913,Villa Montparnasse_48.835_2.33,52.0
H tel des Champs Elys es,10.0,755,48.8722884,2.3090359,H tel des Champs Elys es_48.872_2.309,183.0
Lyric H tel Paris,8.8,480,48.8690126,2.3368708,Lyric H tel Paris_48.869_2.337,97.0
Hotel Design Secret de Paris,10.0,618,48.8814056,2.3282568,Hotel Design Secret de Paris_48.881_2.328,93.0
Hotel Dupond Smith,10.0,60,48.857898,2.3571978,Hotel Dupond Smith_48.858_2.357,23.0
Okko Hotels Paris Porte De Versailles,8.8,257,48.8327729,2.2787597,Okko Hotels Paris Porte De Versailles_48.833_2.279,43.0
La Villa Royale,10.0,404,48.8821595,2.3367444,La Villa Royale_48.882_2.337,76.0
Hotel Indigo Paris Opera,5.8,616,48.8704371,2.329236,Hotel Indigo Paris Opera_48.87_2.329,115.0
Villa Opera Drouot,9.6,528,48.8732231,2.3436097,Villa Opera Drouot_48.873_2.344,96.0
Novotel Paris Gare De Lyon,10.0,3583,48.8453785,2.3753036,Novotel Paris Gare De Lyon_48.845_2.375,566.0
H tel Belloy Saint Germain By Happyculture,10.0,303,48.8503901,2.3422527,H tel Belloy Saint Germain By Happyculture_48.85_2.342,82.0
Hotel Louis 2,8.8,265,48.8516148,2.3381293,Hotel Louis 2_48.852_2.338,55.0
InterContinental Paris Le Grand,4.2,833,48.8708391,2.3303651,InterContinental Paris Le Grand_48.871_2.33,150.0
The Trafalgar Hilton,10.0,784,51.507374,-0.129135,The Trafalgar Hilton_51.507_-0.129,363.0
Park Lane Mews Hotel,5.4,2061,51.5059334,-0.1489418,Park Lane Mews Hotel_51.506_-0.149,1057.0
Old Ship Inn Hackney,9.6,272,51.5458476,-0.0554113,Old Ship Inn Hackney_51.546_-0.055,140.0
The Drayton Court Hotel,7.5,750,51.5141842,-0.3192925,The Drayton Court Hotel_51.514_-0.319,391.0
The Montcalm Marble Arch,3.8,2752,51.5150522,-0.159239,The Montcalm Marble Arch_51.515_-0.159,1061.0
The Colonnade,7.1,391,51.5243286,-0.1846623,The Colonnade_51.524_-0.185,201.0
The Royal Horseguards,6.3,2007,51.5054185,-0.1241499,The Royal Horseguards_51.505_-0.124,974.0
Grange Fitzrovia Hotel,9.2,1034,51.521759,-0.1425381,Grange Fitzrovia Hotel_51.522_-0.143,455.0
H tel Le M,3.8,1140,48.8397623,2.3235324,H tel Le M_48.84_2.324,131.0
The Hari London,7.9,635,51.4973203,-0.1562558,The Hari London_51.497_-0.156,235.0
citizenM London Bankside,7.1,3802,51.5051507,-0.1004724,citizenM London Bankside_51.505_-0.1,1517.0
Radisson Blu Edwardian Mercer Street,8.8,1478,51.5139275,-0.1271506,Radisson Blu Edwardian Mercer Street_51.514_-0.127,767.0
Twenty Nevern Square Hotel,5.8,1719,51.4915712,-0.1963192,Twenty Nevern Square Hotel_51.492_-0.196,776.0
The Abbey Court Notting Hill,7.5,322,51.5101401,-0.1968951,The Abbey Court Notting Hill_51.51_-0.197,90.0
Seven Hotel,8.8,467,48.8389823,2.3455528,Seven Hotel_48.839_2.346,48.0
Platine Hotel Spa,9.2,729,48.8473459,2.2832408,Platine Hotel Spa_48.847_2.283,113.0
Mercure Paris Notre Dame Saint Germain des Pr s,9.6,268,48.8503074,2.3450612,Mercure Paris Notre Dame Saint Germain des Pr s_48.85_2.345,75.0
Mercure Paris Centre Tour Eiffel,9.6,2611,48.8548641,2.2923181,Mercure Paris Centre Tour Eiffel_48.855_2.292,771.0
Banke H tel,9.2,688,48.8735736,2.335965,Banke H tel_48.874_2.336,159.0
Mondrian London,9.2,3611,51.5084036,-0.1067988,Mondrian London_51.508_-0.107,1593.0
Karma Sanctum Soho Hotel,10.0,423,51.5116049,-0.1383145,Karma Sanctum Soho Hotel_51.512_-0.138,193.0
NH London Kensington,5.8,879,51.4948507,-0.1945544,NH London Kensington_51.495_-0.195,225.0
Saint James Albany Paris Hotel Spa,5.4,2868,48.8642689,2.3308179,Saint James Albany Paris Hotel Spa_48.864_2.331,700.0
Mercure Paris Montparnasse Raspail,8.8,369,48.8412131,2.3302954,Mercure Paris Montparnasse Raspail_48.841_2.33,79.0
Golden Tulip Bercy Gare de Lyon 209,9.6,1099,48.8393229,2.3892274,Golden Tulip Bercy Gare de Lyon 209_48.839_2.389,168.0
Montfleuri,7.9,1106,48.8747153,2.2906388,Montfleuri_48.875_2.291,228.0
Simply Rooms Suites,9.2,226,51.4944875,-0.2070605,Simply Rooms Suites_51.494_-0.207,115.0
Mercure Paris Pigalle Sacre Coeur,5.4,441,48.8823398,2.3364764,Mercure Paris Pigalle Sacre Coeur_48.882_2.336,65.0
The Academy,6.3,612,51.5205441,-0.1308091,The Academy_51.521_-0.131,258.0
Le Meridien Piccadilly,9.2,817,51.5094835,-0.1362538,Le Meridien Piccadilly_51.509_-0.136,260.0
Mercure Paris Terminus Nord,7.5,5575,48.8794843,2.3556545,Mercure Paris Terminus Nord_48.879_2.356,1459.0
H tel F licien by Elegancia,10.0,448,48.8493082,2.2743626,H tel F licien by Elegancia_48.849_2.274,66.0
Le Lavoisier,3.8,66,48.8737702,2.3201063,Le Lavoisier_48.874_2.32,12.0
H tel Moli re,10.0,579,48.8655293,2.3360102,H tel Moli re_48.866_2.336,124.0
Vice Versa,7.9,637,48.8363819,2.2897793,Vice Versa_48.836_2.29,59.0
The Kings Head Hotel,9.2,200,51.5079153,-0.2730145,The Kings Head Hotel_51.508_-0.273,86.0
H tel Etoile Saint Honor by Happyculture,8.3,762,48.8756508,2.3041568,H tel Etoile Saint Honor by Happyculture_48.876_2.304,152.0
Hotel Le petit Paris,7.1,221,48.8452789,2.342295,Hotel Le petit Paris_48.845_2.342,57.0
Mercure Paris 19 Philharmonie La Villette,7.5,607,48.8886969,2.3945403,Mercure Paris 19 Philharmonie La Villette_48.889_2.395,54.0
Royal Garden Champs Elysees,8.8,1125,48.8757155,2.3038781,Royal Garden Champs Elysees_48.876_2.304,202.0
H tel Brighton Esprit de France,9.6,973,48.8649306,2.3290844,H tel Brighton Esprit de France_48.865_2.329,284.0
H tel Paris Bastille Boutet MGallery by Sofitel,5.8,381,48.8519215,2.3839993,H tel Paris Bastille Boutet MGallery by Sofitel_48.852_2.384,63.0
Montcalm Royal London House City of London,7.5,1592,51.5218066,-0.0856081,Montcalm Royal London House City of London_51.522_-0.086,715.0
Conrad London St James,10.0,944,51.4993927,-0.1329128,Conrad London St James_51.499_-0.133,358.0
L Edmond H tel,7.5,174,48.8823111,2.3132374,L Edmond H tel_48.882_2.313,20.0
Novotel Suites Paris Montreuil Vincennes,8.8,1176,48.8554268,2.4152555,Novotel Suites Paris Montreuil Vincennes_48.855_2.415,192.0
London Marriott Hotel West India Quay,6.3,2836,51.5072713,-0.0211213,London Marriott Hotel West India Quay_51.507_-0.021,1481.0
London Hilton on Park Lane,6.3,943,51.5055513,-0.1501698,London Hilton on Park Lane_51.506_-0.15,331.0
Radisson Blu Portman Hotel London,9.2,2308,51.5161911,-0.1579487,Radisson Blu Portman Hotel London_51.516_-0.158,868.0
H tel France d Antin Op ra,5.4,173,48.8692566,2.3339369,H tel France d Antin Op ra_48.869_2.334,30.0
Hotel Stendhal Place Vend me Paris MGallery by Sofitel,10.0,141,48.8681455,2.3313064,Hotel Stendhal Place Vend me Paris MGallery by Sofitel_48.868_2.331,29.0
H tel De Buci by MH,10.0,194,48.8538752,2.3366123,H tel De Buci by MH_48.854_2.337,58.0
Hotel Parc Saint Severin Esprit de France,9.2,600,48.8518584,2.3447798,Hotel Parc Saint Severin Esprit de France_48.852_2.345,162.0
Hotel Chavanel,10.0,130,48.8721692,2.3262681,Hotel Chavanel_48.872_2.326,14.0
The Portobello Hotel,9.2,240,51.512257,-0.2034244,The Portobello Hotel_51.512_-0.203,99.0
Royal Saint Honore,10.0,667,48.8658792,2.3298903,Royal Saint Honore_48.866_2.33,136.0
Landmark London,10.0,1062,51.519016,-0.166267,Landmark London_51.519_-0.166,405.0
Hilton London Metropole,6.3,6977,51.5195688,-0.170521,Hilton London Metropole_51.52_-0.171,2628.0
Best Western Seraphine Kensington Olympia,8.3,895,51.4992791,-0.1973593,Best Western Seraphine Kensington Olympia_51.499_-0.197,374.0
Portobello House,7.5,344,51.5199224,-0.2116636,Portobello House_51.52_-0.212,131.0
Le Meurice,10.0,166,48.8653685,2.328218,Le Meurice_48.865_2.328,40.0
Maison Albar Hotel Paris C line,10.0,326,48.8606187,2.344401,Maison Albar Hotel Paris C line_48.861_2.344,62.0
Henry VIII,7.1,2937,51.5124655,-0.182274,Henry VIII_51.512_-0.182,1107.0
Goodenough Club,7.1,959,51.525535,-0.1180354,Goodenough Club_51.526_-0.118,466.0
Hotel Pulitzer Paris,10.0,1521,48.8731996,2.3425446,Hotel Pulitzer Paris_48.873_2.343,200.0
Hotel Vignon,7.1,617,48.8717146,2.3261812,Hotel Vignon_48.872_2.326,119.0
London Suites,6.5,259,51.5215508,-0.0469238,London Suites_51.522_-0.047,114.0
H tel Aiglon Esprit de France,8.8,1152,48.8396623,2.3300582,H tel Aiglon Esprit de France_48.84_2.33,202.0
Sansi Diputacio,6.3,338,41.3882234,2.1644551,Sansi Diputacio_41.388_2.164,57.0
Park Plaza Victoria London,10.0,4426,51.4942539,-0.1414756,Park Plaza Victoria London_51.494_-0.141,1443.0
Grange Beauchamp Hotel,10.0,761,51.5203266,-0.1245891,Grange Beauchamp Hotel_51.52_-0.125,321.0
The Franklin Hotel Starhotels Collezione,6.3,70,51.4960283,-0.1686355,The Franklin Hotel Starhotels Collezione_51.496_-0.169,28.0
Club Quarters Hotel St Paul s,9.6,4117,51.5139298,-0.101126,Club Quarters Hotel St Paul s_51.514_-0.101,1606.0
Hotel Elys es Bassano,8.3,652,48.8689307,2.2974503,Hotel Elys es Bassano_48.869_2.297,121.0
Hotel Opera Cadet,9.6,349,48.8754371,2.3434586,Hotel Opera Cadet_48.875_2.343,65.0
Phileas Hotel,9.6,1000,48.8768854,2.3270623,Phileas Hotel_48.877_2.327,192.0
Holiday Inn Paris Elys es,10.0,421,48.8730437,2.3161144,Holiday Inn Paris Elys es_48.873_2.316,63.0
H tel Beauchamps,3.8,1463,48.87096,2.3091617,H tel Beauchamps_48.871_2.309,289.0
Best Western Nouvel Orl ans Montparnasse,3.8,988,48.8309896,2.3297301,Best Western Nouvel Orl ans Montparnasse_48.831_2.33,174.0
Hotel Plaza Athenee Paris,10.0,160,48.8661932,2.3042141,Hotel Plaza Athenee Paris_48.866_2.304,36.0
Mercure Paris Place d Italie,7.5,192,48.830196,2.3529539,Mercure Paris Place d Italie_48.83_2.353,27.0
The Nadler Kensington,10.0,1209,51.4931086,-0.190208,The Nadler Kensington_51.493_-0.19,491.0
H tel Da Vinci Spa,9.6,352,48.8565778,2.3319767,H tel Da Vinci Spa_48.857_2.332,146.0
XO Hotel,3.8,49,48.8827492,2.2982782,XO Hotel_48.883_2.298,13.0
H tel Vernet,8.3,473,48.871859,2.2978177,H tel Vernet_48.872_2.298,106.0
Mandarin Oriental Paris,10.0,81,48.8671889,2.326927,Mandarin Oriental Paris_48.867_2.327,21.0
Rosewood London,10.0,1008,51.5173303,-0.1180966,Rosewood London_51.517_-0.118,390.0
Novotel Paris Vaugirard Montparnasse,6.3,1313,48.8399018,2.3031011,Novotel Paris Vaugirard Montparnasse_48.84_2.303,216.0
Mayflower Hotel Apartments,2.5,2197,51.4916677,-0.1947475,Mayflower Hotel Apartments_51.492_-0.195,851.0
Caesar Hotel,9.6,1164,51.5134603,-0.1833081,Caesar Hotel_51.513_-0.183,317.0
Hotel Xanadu,10.0,269,51.5117907,-0.306071,Hotel Xanadu_51.512_-0.306,128.0
Draycott Hotel,9.6,245,51.4930097,-0.159715,Draycott Hotel_51.493_-0.16,129.0
DoubleTree by Hilton London Docklands Riverside,10.0,3826,51.5043483,-0.0334436,DoubleTree by Hilton London Docklands Riverside_51.504_-0.033,2147.0
Bentley London,8.0,486,51.4928147,-0.1841753,Bentley London_51.493_-0.184,198.0
Mercure Paris Arc de Triomphe Etoile,5.8,145,48.8782679,2.294852,Mercure Paris Arc de Triomphe Etoile_48.878_2.295,21.0
Park Grand Paddington Court,6.7,6608,51.5135555,-0.180002,Park Grand Paddington Court_51.514_-0.18,2288.0
The One Barcelona GL,7.1,332,41.3961448,2.1631674,The One Barcelona GL_41.396_2.163,85.0
The Zetter Townhouse Marylebone,10.0,180,51.514839,-0.1586656,The Zetter Townhouse Marylebone_51.515_-0.159,82.0
Forest Hill Paris la Villette,7.1,2740,48.8969854,2.3852745,Forest Hill Paris la Villette_48.897_2.385,239.0
The Levin Hotel,10.0,154,51.4998574,-0.161717,The Levin Hotel_51.5_-0.162,63.0
The Tophams Hotel,3.8,411,51.4957436,-0.1477528,The Tophams Hotel_51.496_-0.148,180.0
Le Pavillon de la Reine Spa,9.2,376,48.8562725,2.3660412,Le Pavillon de la Reine Spa_48.856_2.366,119.0
Hidden Hotel by Elegancia,10.0,303,48.8775326,2.293458,Hidden Hotel by Elegancia_48.878_2.293,80.0
Le Roch Hotel Spa,7.9,118,48.8661991,2.3328826,Le Roch Hotel Spa_48.866_2.333,23.0
H10 London Waterloo,7.1,1114,51.4988817,-0.1062888,H10 London Waterloo_51.499_-0.106,484.0
San Domenico House,7.1,317,51.4917798,-0.1616049,San Domenico House_51.492_-0.162,122.0
Bloomsbury Palace Hotel,3.3,2751,51.5207945,-0.1310845,Bloomsbury Palace Hotel_51.521_-0.131,1273.0
Hotel du Petit Moulin,10.0,206,48.8615843,2.3620652,Hotel du Petit Moulin_48.862_2.362,66.0
Hotel Atmospheres,9.6,654,48.8485387,2.3479852,Hotel Atmospheres_48.849_2.348,155.0
H tel La Comtesse by Elegancia,8.3,363,48.853865,2.3072019,H tel La Comtesse by Elegancia_48.854_2.307,111.0
Hotel Astra Opera Astotel,8.3,250,48.8718321,2.3278866,Hotel Astra Opera Astotel_48.872_2.328,34.0
Hotel La Villa Saint Germain Des Pr s,10.0,190,48.8553486,2.3340736,Hotel La Villa Saint Germain Des Pr s_48.855_2.334,51.0
Grand Pigalle Hotel,10.0,399,48.880856,2.3375085,Grand Pigalle Hotel_48.881_2.338,114.0
Innkeeper s Lodge London Greenwich,7.9,1191,51.4801631,-0.0097201,Innkeeper s Lodge London Greenwich_51.48_-0.01,664.0
Morgan Mees,9.2,507,52.3743712,4.8746196,Morgan Mees_52.374_4.875,149.0
Hotel Duminy Vendome,5.8,769,48.8654726,2.3292934,Hotel Duminy Vendome_48.865_2.329,150.0
Maison Albar H tel Paris Champs Elys es ex Mac Mahon ,10.0,774,48.8753837,2.2944651,Maison Albar H tel Paris Champs Elys es ex Mac Mahon _48.875_2.294,159.0
Holiday Inn London Mayfair,7.9,1894,51.507746,-0.1422993,Holiday Inn London Mayfair_51.508_-0.142,647.0
H tel Recamier,9.2,164,48.8503493,2.3344305,H tel Recamier_48.85_2.334,44.0
TRYP Paris Op ra,8.3,414,48.8713619,2.3426375,TRYP Paris Op ra_48.871_2.343,71.0
Royal Saint Michel,8.8,1193,48.8528364,2.3440803,Royal Saint Michel_48.853_2.344,284.0
Paddington Court Executive Rooms,8.3,681,51.5138357,-0.1797976,Paddington Court Executive Rooms_51.514_-0.18,278.0
Novotel London Paddington,9.6,1187,51.519032,-0.1825943,Novotel London Paddington_51.519_-0.183,391.0
Hyatt Regency Paris Etoile,3.3,3973,48.8802782,2.2843852,Hyatt Regency Paris Etoile_48.88_2.284,874.0
Relais Saint Jacques,10.0,519,48.8430523,2.3422519,Relais Saint Jacques_48.843_2.342,120.0
Hotel Cambon,10.0,323,48.866435,2.3251076,Hotel Cambon_48.866_2.325,55.0
Mercure Paris Montmartre Sacr Coeur,8.3,1652,48.8852794,2.3301021,Mercure Paris Montmartre Sacr Coeur_48.885_2.33,269.0
Relais Christine,8.3,287,48.8542454,2.339956,Relais Christine_48.854_2.34,92.0
Les Matins de Paris Spa,6.7,413,48.878932,2.3394182,Les Matins de Paris Spa_48.879_2.339,63.0
Hotel Square,7.1,148,48.851589,2.2777274,Hotel Square_48.852_2.278,28.0
H tel Bourgogne Montana by MH,10.0,545,48.8601927,2.318423,H tel Bourgogne Montana by MH_48.86_2.318,127.0
The Westin Paris Vend me,5.4,380,48.8657394,2.3274415,The Westin Paris Vend me_48.866_2.327,111.0
Hotel Montalembert,10.0,126,48.8567042,2.3277805,Hotel Montalembert_48.857_2.328,44.0
H tel Mathis Elys es,10.0,652,48.8700325,2.3112736,H tel Mathis Elys es_48.87_2.311,194.0
Le Saint Hotel Paris,7.1,163,48.8565421,2.3303504,Le Saint Hotel Paris_48.857_2.33,42.0
Hotel Le Squara,7.1,776,48.884165,2.3328261,Hotel Le Squara_48.884_2.333,122.0
L Hotel Pergol se Paris,9.2,1281,48.8756618,2.2863468,L Hotel Pergol se Paris_48.876_2.286,195.0
H tel Mayfair Paris,8.3,182,48.8661363,2.3260648,H tel Mayfair Paris_48.866_2.326,51.0
Best Western Plus de Neuville Arc de Triomphe,7.1,516,48.8869128,2.3004034,Best Western Plus de Neuville Arc de Triomphe_48.887_2.3,71.0
South Place Hotel,9.6,769,51.5189182,-0.0866009,South Place Hotel_51.519_-0.087,326.0
The Royal Park Hotel,9.6,331,51.5142054,-0.1766098,The Royal Park Hotel_51.514_-0.177,146.0
Holiday Inn Paris Op ra Grands Boulevards,8.3,581,48.8715469,2.3439622,Holiday Inn Paris Op ra Grands Boulevards_48.872_2.344,110.0
Henley House Hotel,9.6,1179,51.4922348,-0.1914229,Henley House Hotel_51.492_-0.191,419.0
Holiday Inn London Camden Lock,8.8,1572,51.5404555,-0.1460833,Holiday Inn London Camden Lock_51.54_-0.146,740.0
DoubleTree by Hilton London Westminster,9.6,3269,51.4932356,-0.1269082,DoubleTree by Hilton London Westminster_51.493_-0.127,1243.0
Blakemore Hyde Park,7.5,6596,51.5129736,-0.1837431,Blakemore Hyde Park_51.513_-0.184,2178.0
Hyatt Regency London The Churchill,9.2,883,51.5156471,-0.1572443,Hyatt Regency London The Churchill_51.516_-0.157,256.0
Rathbone,7.9,776,51.5186801,-0.1354055,Rathbone_51.519_-0.135,354.0
Le Belmont Champs Elys es,8.8,328,48.8691984,2.2979052,Le Belmont Champs Elys es_48.869_2.298,83.0
Duret,10.0,167,48.8752553,2.286653,Duret_48.875_2.287,38.0
H tel Elysees Mermoz,9.2,564,48.8715079,2.3122259,H tel Elysees Mermoz_48.872_2.312,107.0
Majestic Hotel Spa,2.9,232,48.8703672,2.2938868,Majestic Hotel Spa_48.87_2.294,38.0
BoB Hotel by Elegancia,10.0,271,48.8335233,2.3191194,BoB Hotel by Elegancia_48.834_2.319,49.0
Comfort Inn Suites Kings Cross St Pancras,8.8,1116,51.5289499,-0.1232979,Comfort Inn Suites Kings Cross St Pancras_51.529_-0.123,442.0
The Queens Gate Hotel,6.3,2516,51.4981225,-0.1799693,The Queens Gate Hotel_51.498_-0.18,1103.0
Grange Langham Court Hotel,9.6,754,51.5189077,-0.1421957,Grange Langham Court Hotel_51.519_-0.142,296.0
Radisson Blu Edwardian Hampshire,7.1,1543,51.509963,-0.129797,Radisson Blu Edwardian Hampshire_51.51_-0.13,697.0
Four Seasons Hotel George V Paris,9.6,450,48.8687512,2.3001692,Four Seasons Hotel George V Paris_48.869_2.3,121.0
The Marble Arch London,10.0,1567,51.5151247,-0.1600656,The Marble Arch London_51.515_-0.16,561.0
H tel Fabric,10.0,344,48.8629329,2.3723823,H tel Fabric_48.863_2.372,103.0
H tel du Minist re,9.2,949,48.8712877,2.3191903,H tel du Minist re_48.871_2.319,206.0
Shangri La Hotel at The Shard London,10.0,2200,51.5044972,-0.0855562,Shangri La Hotel at The Shard London_51.504_-0.086,1113.0
Hotel Les Bulles De Paris,5.8,712,48.849147,2.3471935,Hotel Les Bulles De Paris_48.849_2.347,159.0
Acad mie H tel Saint Germain,8.8,855,48.855263,2.3305901,Acad mie H tel Saint Germain_48.855_2.331,255.0
Plaza Tour Eiffel,10.0,266,48.8645647,2.2821827,Plaza Tour Eiffel_48.865_2.282,67.0
Park Grand London Kensington,8.8,4660,51.4938468,-0.1917582,Park Grand London Kensington_51.494_-0.192,2059.0
Rocco Forte Brown s Hotel,9.6,127,51.5090558,-0.1421661,Rocco Forte Brown s Hotel_51.509_-0.142,49.0
Royal Hotel Champs Elys es,4.6,983,48.8740463,2.300196,Royal Hotel Champs Elys es_48.874_2.3,210.0
Best Western Allegro Nation,5.8,354,48.8430891,2.4049867,Best Western Allegro Nation_48.843_2.405,37.0
Prince de Galles a Luxury Collection hotel Paris,7.1,171,48.869143,2.3006526,Prince de Galles a Luxury Collection hotel Paris_48.869_2.301,40.0
The Beaufort,8.3,510,51.4978466,-0.164156,The Beaufort_51.498_-0.164,210.0
H tel La Parizienne by Elegancia,6.3,672,48.8450894,2.3209503,H tel La Parizienne by Elegancia_48.845_2.321,124.0
Madeleine Plaza,7.5,836,48.8710402,2.3248014,Madeleine Plaza_48.871_2.325,138.0
Blakes Hotel,7.5,190,51.4892447,-0.1803196,Blakes Hotel_51.489_-0.18,76.0
Castille Paris Starhotels Collezione,10.0,808,48.8682978,2.3268027,Castille Paris Starhotels Collezione_48.868_2.327,163.0
H tel D Aubusson,10.0,941,48.8547329,2.3395277,H tel D Aubusson_48.855_2.34,294.0
Hotel Oscar,8.8,408,48.8694755,2.3046954,Hotel Oscar_48.869_2.305,84.0
Best Western Bretagne Montparnasse,7.9,1540,48.8354314,2.321142,Best Western Bretagne Montparnasse_48.835_2.321,188.0
The Westbridge Hotel,8.3,1200,51.5373904,-0.0023367,The Westbridge Hotel_51.537_-0.002,588.0
Courthouse Hotel Shoreditch,10.0,477,51.5273442,-0.0796152,Courthouse Hotel Shoreditch_51.527_-0.08,259.0
ME London by Melia,5.4,1017,51.511879,-0.118552,ME London by Melia_51.512_-0.119,471.0
Grange Clarendon Hotel,7.5,823,51.5197933,-0.1241844,Grange Clarendon Hotel_51.52_-0.124,369.0
Hotel Indigo London Kensington,10.0,975,51.4920287,-0.1917801,Hotel Indigo London Kensington_51.492_-0.192,353.0
Novotel Paris 17,4.2,750,48.8920485,2.3023791,Novotel Paris 17_48.892_2.302,101.0
Rafayel Hotel Spa,6.3,1378,51.4703604,-0.1779869,Rafayel Hotel Spa_51.47_-0.178,774.0
Norfolk Towers Paddington,7.5,4065,51.5162883,-0.1721078,Norfolk Towers Paddington_51.516_-0.172,1531.0
Artus Hotel by MH,9.6,261,48.8535639,2.3360169,Artus Hotel by MH_48.854_2.336,58.0
Best Western Premier Kapital Op ra,9.6,1444,48.8814425,2.3235592,Best Western Premier Kapital Op ra_48.881_2.324,277.0
Timhotel Op ra Blanche Fontaine,5.0,466,48.8825781,2.3334805,Timhotel Op ra Blanche Fontaine_48.883_2.333,93.0
H tel Amastan Paris,10.0,102,48.8716831,2.3123759,H tel Amastan Paris_48.872_2.312,34.0
H tel Gustave,9.6,625,48.8502052,2.289043,H tel Gustave_48.85_2.289,165.0
Best Western Maitrise Hotel Edgware Road,4.6,461,51.521148,-0.171346,Best Western Maitrise Hotel Edgware Road_51.521_-0.171,220.0
Georgian House Hotel,9.6,918,51.490724,-0.143868,Georgian House Hotel_51.491_-0.144,328.0
Best Western Tour Eiffel Invalides,7.5,364,48.8593152,2.3104179,Best Western Tour Eiffel Invalides_48.859_2.31,74.0
The Chesterfield Mayfair,10.0,1166,51.5076899,-0.1471358,The Chesterfield Mayfair_51.508_-0.147,482.0
My Chelsea,9.2,1003,51.4919083,-0.1684398,My Chelsea_51.492_-0.168,418.0
Eiffel Trocad ro,6.3,435,48.8613055,2.2862823,Eiffel Trocad ro_48.861_2.286,128.0
Hotel Saint Petersbourg Opera,7.9,2412,48.872174,2.328075,Hotel Saint Petersbourg Opera_48.872_2.328,383.0
H tel Champs lys es Plaza,10.0,343,48.8737043,2.3061477,H tel Champs lys es Plaza_48.874_2.306,65.0
Melia Paris Tour Eiffel,7.9,241,48.8651994,2.3045076,Melia Paris Tour Eiffel_48.865_2.305,53.0
Timhotel Op ra Grands Magasins,7.1,466,48.8794682,2.3334957,Timhotel Op ra Grands Magasins_48.879_2.333,79.0
Dukes Hotel,8.8,210,51.5055381,-0.1396885,Dukes Hotel_51.506_-0.14,74.0
Radisson Blu Edwardian Berkshire,5.8,1600,51.5146025,-0.1481978,Radisson Blu Edwardian Berkshire_51.515_-0.148,555.0
Pestana Chelsea Bridge Hotel Spa,9.6,1686,51.4815995,-0.1481053,Pestana Chelsea Bridge Hotel Spa_51.482_-0.148,710.0
Arbor Hyde Park,10.0,2140,51.5126488,-0.1803795,Arbor Hyde Park_51.513_-0.18,826.0
Mercure Paris Porte De Versailles Expo,7.9,462,48.8268251,2.2912033,Mercure Paris Porte De Versailles Expo_48.827_2.291,40.0
Great St Helen Hotel,7.9,1328,51.5149583,-0.0823869,Great St Helen Hotel_51.515_-0.082,520.0
Hotel Whistler,10.0,115,48.879314,2.3560185,Hotel Whistler_48.879_2.356,28.0
Hotel Georgette,10.0,307,48.8632723,2.352691,Hotel Georgette_48.863_2.353,51.0
Westside Arc de Triomphe Hotel,8.3,1738,48.8811741,2.2948337,Westside Arc de Triomphe Hotel_48.881_2.295,293.0
Etoile Saint Ferdinand,9.2,560,48.8777895,2.2872498,Etoile Saint Ferdinand_48.878_2.287,99.0
H tel Saint Marc,9.6,377,48.8708863,2.3382128,H tel Saint Marc_48.871_2.338,76.0
United Lodge Hotel and Apartments,7.5,714,51.5743549,-0.0977567,United Lodge Hotel and Apartments_51.574_-0.098,223.0
H tel Le Walt,10.0,257,48.8547161,2.306642,H tel Le Walt_48.855_2.307,63.0
H tel Le Royal Monceau Raffles Paris,10.0,119,48.8756359,2.3004967,H tel Le Royal Monceau Raffles Paris_48.876_2.3,22.0
Eccleston Square Hotel,4.6,369,51.4911924,-0.1449474,Eccleston Square Hotel_51.491_-0.145,172.0
Nottingham Place Hotel,7.9,580,51.522143,-0.153385,Nottingham Place Hotel_51.522_-0.153,247.0
Hotel Claridge Paris,10.0,724,48.8684243,2.3036244,Hotel Claridge Paris_48.868_2.304,187.0
Strand Palace Hotel,8.3,9568,51.5110993,-0.1208673,Strand Palace Hotel_51.511_-0.121,4256.0
H tel L Echiquier Op ra Paris MGallery by Sofitel,6.3,666,48.8719889,2.3492913,H tel L Echiquier Op ra Paris MGallery by Sofitel_48.872_2.349,139.0
H tel De Castiglione,9.2,1168,48.8691758,2.3205807,H tel De Castiglione_48.869_2.321,201.0
Hilton London Olympia,7.5,1786,51.4967399,-0.2064723,Hilton London Olympia_51.497_-0.206,889.0
Grange Buckingham Hotel,7.9,128,51.5196124,-0.1239628,Grange Buckingham Hotel_51.52_-0.124,49.0
The Cleveland,9.2,909,51.5139692,-0.1828202,The Cleveland_51.514_-0.183,289.0
